"","age","workclass","fnlwgt","education","education.num","martial.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","above50K"
"1787",35," Local-gov",103260," Masters",14," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,35," United-States",FALSE
"1752",38," Private",304651," HS-grad",9," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,0,60," United-States",TRUE
"31066",52," Local-gov",153312," Assoc-acdm",12," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States",FALSE
"16060",19," Private",301747," HS-grad",9," Separated"," Adm-clerical"," Own-child"," White"," Female",0,0,30," United-States",TRUE
"6641",18," ?",128538," Some-college",10," Never-married"," ?"," Own-child"," White"," Female",0,0,6," United-States",TRUE
"9545",48," Private",192779," Some-college",10," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States",TRUE
"15212",36," Private",33983," Assoc-voc",11," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,42," United-States",FALSE
"16649",52," Private",196894," 11th",7," Separated"," Handlers-cleaners"," Unmarried"," White"," Male",0,0,40," United-States",TRUE
"16393",57," Private",233382," Masters",14," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,40," Cuba",TRUE
"13186",39," Private",316211," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," United-States",FALSE
"32411",29," Private",183854," HS-grad",9," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,25," United-States",TRUE
"10488",27," Private",285897," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1848,45," United-States",FALSE
"25532",26," Private",360252," Assoc-acdm",12," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States",TRUE
"12235",27," Private",171655," HS-grad",9," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,42," United-States",TRUE
"30773",24," Private",206827," Some-college",10," Never-married"," Sales"," Own-child"," White"," Female",5060,0,30," United-States",TRUE
"31310",43," State-gov",47818," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States",TRUE
"20041",26," Private",258768," Some-college",10," Never-married"," Transport-moving"," Not-in-family"," Black"," Male",2174,0,75," United-States",TRUE
"7202",28," Self-emp-not-inc",204984," Bachelors",13," Never-married"," Tech-support"," Not-in-family"," White"," Male",0,0,45," United-States",TRUE
"4270",22," Private",275385," Some-college",10," Never-married"," Other-service"," Other-relative"," White"," Male",0,0,25," United-States",TRUE
"1097",62," Private",92178," 10th",6," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States",TRUE
"2385",19," Private",172893," Some-college",10," Never-married"," Exec-managerial"," Own-child"," White"," Female",0,0,30," United-States",TRUE
"23826",62," ?",83439," 7th-8th",4," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,40," United-States",TRUE
"17385",45," Private",320192," 1st-4th",2," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,40," United-States",TRUE
"8676",22," Private",215477," Some-college",10," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,40," United-States",TRUE
"28144",68," ?",257269," Bachelors",13," Married-civ-spouse"," ?"," Husband"," White"," Male",0,2377,35," United-States",FALSE
"31936",18," Private",217743," 11th",7," Never-married"," Sales"," Own-child"," White"," Female",0,0,40," United-States",TRUE
"13868",26," Private",58426," HS-grad",9," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",TRUE
"747",55," Private",197422," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",7688,0,40," United-States",FALSE
"6739",36," Private",218490," Assoc-acdm",12," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,35," United-States",TRUE
"29624",51," Private",95329," Masters",14," Divorced"," Protective-serv"," Unmarried"," White"," Male",0,0,40," United-States",TRUE
"11136",48," Local-gov",187969," Masters",14," Divorced"," Prof-specialty"," Unmarried"," White"," Female",0,0,80," United-States",TRUE
"29699",55," ?",227203," Assoc-acdm",12," Married-spouse-absent"," ?"," Not-in-family"," White"," Female",0,0,5," United-States",TRUE
"31987",45," Private",259463," Assoc-voc",11," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",FALSE
"28786",50," Private",150975," HS-grad",9," Divorced"," Machine-op-inspct"," Not-in-family"," Amer-Indian-Eskimo"," Female",0,0,40," United-States",TRUE
"31664",32," Private",114288," HS-grad",9," Divorced"," Prof-specialty"," Own-child"," White"," Female",0,0,40," United-States",TRUE
"31083",47," Local-gov",140644," Some-college",10," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States",FALSE
"26005",56," Private",220187," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,45," United-States",FALSE
"22319",32," Private",157289," HS-grad",9," Married-spouse-absent"," Handlers-cleaners"," Other-relative"," White"," Male",0,0,40," United-States",TRUE
"22765",44," Private",109273," Some-college",10," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,38," United-States",TRUE
"7617",39," Private",326342," 11th",7," Married-civ-spouse"," Other-service"," Husband"," Black"," Male",2635,0,37," United-States",TRUE
"6832",45," Private",125489," Masters",14," Divorced"," Prof-specialty"," Unmarried"," White"," Female",0,0,50," United-States",TRUE
"28188",29," Private",499197," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States",TRUE
"9667",29," Private",128509," HS-grad",9," Married-spouse-absent"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,38," El-Salvador",TRUE
"1509",20," Private",431745," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," Black"," Female",0,0,14," United-States",TRUE
"21050",63," Private",318763," Some-college",10," Divorced"," Craft-repair"," Unmarried"," White"," Male",0,0,22," United-States",TRUE
"6175",20," Private",170800," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,15," United-States",TRUE
"4372",29," Private",52636," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States",TRUE
"22132",49," Self-emp-not-inc",102318," Assoc-acdm",12," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,25," United-States",TRUE
"27250",28," Private",51961," Some-college",10," Never-married"," Tech-support"," Own-child"," Black"," Male",0,0,24," United-States",TRUE
"9908",68," ?",117542," HS-grad",9," Married-civ-spouse"," ?"," Husband"," White"," Male",1409,0,15," United-States",TRUE
"18141",37," Private",278576," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,60," United-States",FALSE
"20585",67," Self-emp-not-inc",179285," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,30," United-States",TRUE
"21896",71," Local-gov",303860," Masters",14," Widowed"," Exec-managerial"," Not-in-family"," White"," Male",2050,0,20," United-States",TRUE
"27739",52," Private",146567," HS-grad",9," Divorced"," Machine-op-inspct"," Not-in-family"," Black"," Male",14344,0,40," United-States",FALSE
"22588",58," State-gov",280519," HS-grad",9," Divorced"," Other-service"," Own-child"," Black"," Male",0,0,40," United-States",TRUE
"174",27," Private",428030," Bachelors",13," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,50," United-States",TRUE
"19654",68," Private",32779," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,419,12," United-States",TRUE
"17620",32," Private",73498," 7th-8th",4," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,40," United-States",TRUE
"1161",44," Private",193459," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",3411,0,40," United-States",TRUE
"14320",18," Private",115443," 11th",7," Never-married"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,25," United-States",TRUE
"8614",48," Private",141944," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",4386,0,40," United-States",FALSE
"18113",46," Federal-gov",140664," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,48," United-States",FALSE
"23853",29," Private",270421," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,50," United-States",FALSE
"13843",41," Private",107276," Assoc-voc",11," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,45," United-States",TRUE
"2586",51," Private",103407," HS-grad",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States",TRUE
"24565",41," Private",88368," HS-grad",9," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,50," United-States",TRUE
"31049",37," Private",208106," Bachelors",13," Separated"," Exec-managerial"," Not-in-family"," White"," Male",0,0,35," United-States",TRUE
"28548",28," Private",156300," Masters",14," Never-married"," Exec-managerial"," Not-in-family"," Black"," Female",0,0,45," United-States",TRUE
"32325",42," State-gov",138162," Some-college",10," Divorced"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States",TRUE
"22872",40," Local-gov",101795," HS-grad",9," Never-married"," Protective-serv"," Not-in-family"," White"," Male",0,0,42," United-States",TRUE
"31947",49," Private",123681," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,43," United-States",FALSE
"17981",36," Private",199947," Some-college",10," Divorced"," Machine-op-inspct"," Own-child"," White"," Female",0,0,30," United-States",TRUE
"23913",36," Private",278576," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,50," United-States",TRUE
"7070",46," Private",185673," HS-grad",9," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," United-States",TRUE
"10494",48," Local-gov",177018," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States",FALSE
"29635",62," Private",174711," HS-grad",9," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,32," United-States",TRUE
"5091",44," Private",275094," 1st-4th",2," Never-married"," Other-service"," Own-child"," White"," Male",0,0,10," United-States",TRUE
"30365",49," Federal-gov",181657," Some-college",10," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,50," United-States",TRUE
